Comunidades y Ciudades Autónomas;Causa de muerte;Periodo;Total
01 Andalucía;001-008  I.Enfermedades infecciosas y parasitarias;2021;7803
01 Andalucía;001-008  I.Enfermedades infecciosas y parasitarias;2020;7653
01 Andalucía;001-008  I.Enfermedades infecciosas y parasitarias;2019;1130
01 Andalucía;001-008  I.Enfermedades infecciosas y parasitarias;2018;1176
01 Andalucía;001-008  I.Enfermedades infecciosas y parasitarias;2017;1245
01 Andalucía;001-008  I.Enfermedades infecciosas y parasitarias;2016;1288
01 Andalucía;001-008  I.Enfermedades infecciosas y parasitarias;2015;1450
01 Andalucía;001-008  I.Enfermedades infecciosas y parasitarias;2014;1255
01 Andalucía;001-008  I.Enfermedades infecciosas y parasitarias;2013;1110
01 Andalucía;001-008  I.Enfermedades infecciosas y parasitarias;2012;1091
01 Andalucía;001-008  I.Enfermedades infecciosas y parasitarias;2011;1116
01 Andalucía;001-008  I.Enfermedades infecciosas y parasitarias;2010;1025
01 Andalucía;001-008  I.Enfermedades infecciosas y parasitarias;2009;1119
01 Andalucía;001-008  I.Enfermedades infecciosas y parasitarias;2008;1253
01 Andalucía;001-008  I.Enfermedades infecciosas y parasitarias;2007;1242
01 Andalucía;001-008  I.Enfermedades infecciosas y parasitarias;2006;1151
01 Andalucía;001-008  I.Enfermedades infecciosas y parasitarias;2005;1265
01 Andalucía;001-008  I.Enfermedades infecciosas y parasitarias;2004;1188
01 Andalucía;001-008  I.Enfermedades infecciosas y parasitarias;2003;1213
01 Andalucía;001-008  I.Enfermedades infecciosas y parasitarias;2002;1120
01 Andalucía;001-008  I.Enfermedades infecciosas y parasitarias;2001;1210
01 Andalucía;001-008  I.Enfermedades infecciosas y parasitarias;2000;1216
01 Andalucía;009-041  II.Tumores;2021;19013
01 Andalucía;009-041  II.Tumores;2020;18323
01 Andalucía;009-041  II.Tumores;2019;18152
01 Andalucía;009-041  II.Tumores;2018;18261
01 Andalucía;009-041  II.Tumores;2017;18132
01 Andalucía;009-041  II.Tumores;2016;17636
01 Andalucía;009-041  II.Tumores;2015;17461
01 Andalucía;009-041  II.Tumores;2014;17088
01 Andalucía;009-041  II.Tumores;2013;17424
01 Andalucía;009-041  II.Tumores;2012;17677
01 Andalucía;009-041  II.Tumores;2011;17022
01 Andalucía;009-041  II.Tumores;2010;16642
01 Andalucía;009-041  II.Tumores;2009;16397
01 Andalucía;009-041  II.Tumores;2008;16399
01 Andalucía;009-041  II.Tumores;2007;16113
01 Andalucía;009-041  II.Tumores;2006;15793
01 Andalucía;009-041  II.Tumores;2005;15690
01 Andalucía;009-041  II.Tumores;2004;16028
01 Andalucía;009-041  II.Tumores;2003;15525
