Sociedad > Salud > Análisis de la mortalidad
    Defunciones de residentes según sexos; grupos de edad y causas de muerte (grandes grupos de CIE-10). Islas de Canarias y años.
Defunciones de residentes según sexos; grupos de edad y causas de muerte (grandes grupos de CIE-10). Islas de Canarias y años.
Unidad de medida:Defunciones


, Gran Canaria
,TOTAL
2021,
   AMBOS SEXOS,
      I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,329
      II. TUMORES [NEOPLASIAS],1.935
      III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,24
      IV. ENFERMEDADES ENDOCRINAS; NUTRICIONALES Y METABÓLICAS,214
      V. TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,228
      VI. ENFERMEDADES DEL SISTEMA NERVIOSO,344
      VII. ENFERMEDADES DEL OJO Y SUS ANEXOS,0
      VIII. ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES,1
      IX. ENFERMEDADES DEL SISTEMA CIRCULATORIO,2.158
      X. ENFERMEDADES DEL SISTEMA RESPIRATORIO,841
      XI. ENFERMEDADES DEL SISTEMA DIGESTIVO,338
      XII. ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO,55
      XIII. ARTROPATÍAS,39
      XIV. ENFERMEDADES DEL SISTEMA GENITOURINARIO,327
      XV. EMBARAZO; PARTO Y PUERPERIO,1
      XVI. CIERTAS AFECCIONES ORIGINADAS EN EL PERÍODO PERINATAL,11
      XVII. MALFORMACIONES CONGÉNITAS; DEFORMIDADES Y ANOMALÍAS CROMOSÓMICAS,12
      XVIII. SÍNTOMAS; SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO; NO CLASIFS. OTRA PARTE,98
      XX. CAUSAS EXTERNAS DE MORBILIDAD Y DE MORTALIDAD,280
2020,
   AMBOS SEXOS,
      I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,237
      II. TUMORES [NEOPLASIAS],1.956
      III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,21
      IV. ENFERMEDADES ENDOCRINAS; NUTRICIONALES Y METABÓLICAS,218
      V. TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,209
      VI. ENFERMEDADES DEL SISTEMA NERVIOSO,333
      VII. ENFERMEDADES DEL OJO Y SUS ANEXOS,0
      VIII. ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES,0
      IX. ENFERMEDADES DEL SISTEMA CIRCULATORIO,2.064
      X. ENFERMEDADES DEL SISTEMA RESPIRATORIO,835
      XI. ENFERMEDADES DEL SISTEMA DIGESTIVO,343
      XII. ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO,47
      XIII. ARTROPATÍAS,54
      XIV. ENFERMEDADES DEL SISTEMA GENITOURINARIO,309
      XV. EMBARAZO; PARTO Y PUERPERIO,0
      XVI. CIERTAS AFECCIONES ORIGINADAS EN EL PERÍODO PERINATAL,7
      XVII. MALFORMACIONES CONGÉNITAS; DEFORMIDADES Y ANOMALÍAS CROMOSÓMICAS,14
      XVIII. SÍNTOMAS; SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO; NO CLASIFS. OTRA PARTE,102
      XX. CAUSAS EXTERNAS DE MORBILIDAD Y DE MORTALIDAD,290
2019,
   AMBOS SEXOS,
      I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,96
      II. TUMORES [NEOPLASIAS],1.844
      III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,21
      IV. ENFERMEDADES ENDOCRINAS; NUTRICIONALES Y METABÓLICAS,212
      V. TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,194
      VI. ENFERMEDADES DEL SISTEMA NERVIOSO,287
      VII. ENFERMEDADES DEL OJO Y SUS ANEXOS,0
