Causa de muerte;Edad;Periodo;Total
001-008  I.Enfermedades infecciosas y parasitarias;Todas las edades;2021;46001
001-008  I.Enfermedades infecciosas y parasitarias;Todas las edades;2020;80796
001-008  I.Enfermedades infecciosas y parasitarias;Todas las edades;2019;6119
001-008  I.Enfermedades infecciosas y parasitarias;Todas las edades;2018;6398
001-008  I.Enfermedades infecciosas y parasitarias;Todas las edades;2017;6819
001-008  I.Enfermedades infecciosas y parasitarias;Todas las edades;2016;7033
001-008  I.Enfermedades infecciosas y parasitarias;Todas las edades;2015;7567
001-008  I.Enfermedades infecciosas y parasitarias;Todas las edades;2014;6508
001-008  I.Enfermedades infecciosas y parasitarias;Todas las edades;2013;6209
001-008  I.Enfermedades infecciosas y parasitarias;Todas las edades;2012;6520
001-008  I.Enfermedades infecciosas y parasitarias;Todas las edades;2011;6398
001-008  I.Enfermedades infecciosas y parasitarias;Todas las edades;2010;6489
001-008  I.Enfermedades infecciosas y parasitarias;Todas las edades;2009;6843
001-008  I.Enfermedades infecciosas y parasitarias;Todas las edades;2008;7712
001-008  I.Enfermedades infecciosas y parasitarias;Todas las edades;2007;7782
001-008  I.Enfermedades infecciosas y parasitarias;Todas las edades;2006;7201
001-008  I.Enfermedades infecciosas y parasitarias;Todas las edades;2005;7493
001-008  I.Enfermedades infecciosas y parasitarias;Todas las edades;2004;7218
001-008  I.Enfermedades infecciosas y parasitarias;Todas las edades;2003;7302
001-008  I.Enfermedades infecciosas y parasitarias;Todas las edades;2002;6736
001-008  I.Enfermedades infecciosas y parasitarias;Todas las edades;2001;6557
001-008  I.Enfermedades infecciosas y parasitarias;Todas las edades;2000;6284
001-008  I.Enfermedades infecciosas y parasitarias;Menos de 1 año;2021;7
001-008  I.Enfermedades infecciosas y parasitarias;Menos de 1 año;2020;17
001-008  I.Enfermedades infecciosas y parasitarias;Menos de 1 año;2019;6
001-008  I.Enfermedades infecciosas y parasitarias;Menos de 1 año;2018;10
001-008  I.Enfermedades infecciosas y parasitarias;Menos de 1 año;2017;12
001-008  I.Enfermedades infecciosas y parasitarias;Menos de 1 año;2016;16
001-008  I.Enfermedades infecciosas y parasitarias;Menos de 1 año;2015;17
001-008  I.Enfermedades infecciosas y parasitarias;Menos de 1 año;2014;17
001-008  I.Enfermedades infecciosas y parasitarias;Menos de 1 año;2013;12
001-008  I.Enfermedades infecciosas y parasitarias;Menos de 1 año;2012;20
001-008  I.Enfermedades infecciosas y parasitarias;Menos de 1 año;2011;26
001-008  I.Enfermedades infecciosas y parasitarias;Menos de 1 año;2010;21
001-008  I.Enfermedades infecciosas y parasitarias;Menos de 1 año;2009;29
001-008  I.Enfermedades infecciosas y parasitarias;Menos de 1 año;2008;29
001-008  I.Enfermedades infecciosas y parasitarias;Menos de 1 año;2007;29
001-008  I.Enfermedades infecciosas y parasitarias;Menos de 1 año;2006;40
001-008  I.Enfermedades infecciosas y parasitarias;Menos de 1 año;2005;31
001-008  I.Enfermedades infecciosas y parasitarias;Menos de 1 año;2004;28
001-008  I.Enfermedades infecciosas y parasitarias;Menos de 1 año;2003;25
001-008  I.Enfermedades infecciosas y parasitarias;Menos de 1 año;2002;22
001-008  I.Enfermedades infecciosas y parasitarias;Menos de 1 año;2001;21
001-008  I.Enfermedades infecciosas y parasitarias;Menos de 1 año;2000;34
001-008  I.Enfermedades infecciosas y parasitarias;De 1 a 4 años;2021;3
001-008  I.Enfermedades infecciosas y parasitarias;De 1 a 4 años;2020;8
001-008  I.Enfermedades infecciosas y parasitarias;De 1 a 4 años;2019;16
001-008  I.Enfermedades infecciosas y parasitarias;De 1 a 4 años;2018;10
001-008  I.Enfermedades infecciosas y parasitarias;De 1 a 4 años;2017;11
001-008  I.Enfermedades infecciosas y parasitarias;De 1 a 4 años;2016;16
001-008  I.Enfermedades infecciosas y parasitarias;De 1 a 4 años;2015;11
001-008  I.Enfermedades infecciosas y parasitarias;De 1 a 4 años;2014;12
001-008  I.Enfermedades infecciosas y parasitarias;De 1 a 4 años;2013;16
001-008  I.Enfermedades infecciosas y parasitarias;De 1 a 4 años;2012;16
001-008  I.Enfermedades infecciosas y parasitarias;De 1 a 4 años;2011;22
001-008  I.Enfermedades infecciosas y parasitarias;De 1 a 4 años;2010;18
001-008  I.Enfermedades infecciosas y parasitarias;De 1 a 4 años;2009;30
001-008  I.Enfermedades infecciosas y parasitarias;De 1 a 4 años;2008;20
001-008  I.Enfermedades infecciosas y parasitarias;De 1 a 4 años;2007;30
001-008  I.Enfermedades infecciosas y parasitarias;De 1 a 4 años;2006;23
001-008  I.Enfermedades infecciosas y parasitarias;De 1 a 4 años;2005;31
001-008  I.Enfermedades infecciosas y parasitarias;De 1 a 4 años;2004;22
001-008  I.Enfermedades infecciosas y parasitarias;De 1 a 4 años;2003;32
001-008  I.Enfermedades infecciosas y parasitarias;De 1 a 4 años;2002;27
001-008  I.Enfermedades infecciosas y parasitarias;De 1 a 4 años;2001;24
001-008  I.Enfermedades infecciosas y parasitarias;De 1 a 4 años;2000;43
001-008  I.Enfermedades infecciosas y parasitarias;De 5 a 9 años;2021;6
001-008  I.Enfermedades infecciosas y parasitarias;De 5 a 9 años;2020;4
001-008  I.Enfermedades infecciosas y parasitarias;De 5 a 9 años;2019;6
001-008  I.Enfermedades infecciosas y parasitarias;De 5 a 9 años;2018;5
001-008  I.Enfermedades infecciosas y parasitarias;De 5 a 9 años;2017;3
001-008  I.Enfermedades infecciosas y parasitarias;De 5 a 9 años;2016;2
001-008  I.Enfermedades infecciosas y parasitarias;De 5 a 9 años;2015;5
001-008  I.Enfermedades infecciosas y parasitarias;De 5 a 9 años;2014;4
001-008  I.Enfermedades infecciosas y parasitarias;De 5 a 9 años;2013;6
001-008  I.Enfermedades infecciosas y parasitarias;De 5 a 9 años;2012;3
001-008  I.Enfermedades infecciosas y parasitarias;De 5 a 9 años;2011;4
001-008  I.Enfermedades infecciosas y parasitarias;De 5 a 9 años;2010;5
001-008  I.Enfermedades infecciosas y parasitarias;De 5 a 9 años;2009;6
001-008  I.Enfermedades infecciosas y parasitarias;De 5 a 9 años;2008;8
001-008  I.Enfermedades infecciosas y parasitarias;De 5 a 9 años;2007;11
001-008  I.Enfermedades infecciosas y parasitarias;De 5 a 9 años;2006;6
001-008  I.Enfermedades infecciosas y parasitarias;De 5 a 9 años;2005;5
001-008  I.Enfermedades infecciosas y parasitarias;De 5 a 9 años;2004;9
001-008  I.Enfermedades infecciosas y parasitarias;De 5 a 9 años;2003;12
001-008  I.Enfermedades infecciosas y parasitarias;De 5 a 9 años;2002;16
001-008  I.Enfermedades infecciosas y parasitarias;De 5 a 9 años;2001;12
001-008  I.Enfermedades infecciosas y parasitarias;De 5 a 9 años;2000;19
001-008  I.Enfermedades infecciosas y parasitarias;De 10 a 14 años  ;2021;4
001-008  I.Enfermedades infecciosas y parasitarias;De 10 a 14 años  ;2020;8
001-008  I.Enfermedades infecciosas y parasitarias;De 10 a 14 años  ;2019;3
001-008  I.Enfermedades infecciosas y parasitarias;De 10 a 14 años  ;2018;3
001-008  I.Enfermedades infecciosas y parasitarias;De 10 a 14 años  ;2017;4
001-008  I.Enfermedades infecciosas y parasitarias;De 10 a 14 años  ;2016;4
001-008  I.Enfermedades infecciosas y parasitarias;De 10 a 14 años  ;2015;6
001-008  I.Enfermedades infecciosas y parasitarias;De 10 a 14 años  ;2014;4
001-008  I.Enfermedades infecciosas y parasitarias;De 10 a 14 años  ;2013;6
001-008  I.Enfermedades infecciosas y parasitarias;De 10 a 14 años  ;2012;2
001-008  I.Enfermedades infecciosas y parasitarias;De 10 a 14 años  ;2011;3
001-008  I.Enfermedades infecciosas y parasitarias;De 10 a 14 años  ;2010;4
001-008  I.Enfermedades infecciosas y parasitarias;De 10 a 14 años  ;2009;3
001-008  I.Enfermedades infecciosas y parasitarias;De 10 a 14 años  ;2008;4
001-008  I.Enfermedades infecciosas y parasitarias;De 10 a 14 años  ;2007;8
001-008  I.Enfermedades infecciosas y parasitarias;De 10 a 14 años  ;2006;8
001-008  I.Enfermedades infecciosas y parasitarias;De 10 a 14 años  ;2005;3
001-008  I.Enfermedades infecciosas y parasitarias;De 10 a 14 años  ;2004;10
001-008  I.Enfermedades infecciosas y parasitarias;De 10 a 14 años  ;2003;19
001-008  I.Enfermedades infecciosas y parasitarias;De 10 a 14 años  ;2002;12
001-008  I.Enfermedades infecciosas y parasitarias;De 10 a 14 años  ;2001;19
001-008  I.Enfermedades infecciosas y parasitarias;De 10 a 14 años  ;2000;6
001-008  I.Enfermedades infecciosas y parasitarias;De 15 a 19 años  ;2021;10
001-008  I.Enfermedades infecciosas y parasitarias;De 15 a 19 años  ;2020;15
001-008  I.Enfermedades infecciosas y parasitarias;De 15 a 19 años  ;2019;7
001-008  I.Enfermedades infecciosas y parasitarias;De 15 a 19 años  ;2018;1
001-008  I.Enfermedades infecciosas y parasitarias;De 15 a 19 años  ;2017;7
001-008  I.Enfermedades infecciosas y parasitarias;De 15 a 19 años  ;2016;7
001-008  I.Enfermedades infecciosas y parasitarias;De 15 a 19 años  ;2015;4
001-008  I.Enfermedades infecciosas y parasitarias;De 15 a 19 años  ;2014;4
001-008  I.Enfermedades infecciosas y parasitarias;De 15 a 19 años  ;2013;6
001-008  I.Enfermedades infecciosas y parasitarias;De 15 a 19 años  ;2012;4
001-008  I.Enfermedades infecciosas y parasitarias;De 15 a 19 años  ;2011;16
001-008  I.Enfermedades infecciosas y parasitarias;De 15 a 19 años  ;2010;6
001-008  I.Enfermedades infecciosas y parasitarias;De 15 a 19 años  ;2009;7
001-008  I.Enfermedades infecciosas y parasitarias;De 15 a 19 años  ;2008;17
001-008  I.Enfermedades infecciosas y parasitarias;De 15 a 19 años  ;2007;15
001-008  I.Enfermedades infecciosas y parasitarias;De 15 a 19 años  ;2006;17
001-008  I.Enfermedades infecciosas y parasitarias;De 15 a 19 años  ;2005;18
001-008  I.Enfermedades infecciosas y parasitarias;De 15 a 19 años  ;2004;18
001-008  I.Enfermedades infecciosas y parasitarias;De 15 a 19 años  ;2003;18
001-008  I.Enfermedades infecciosas y parasitarias;De 15 a 19 años  ;2002;31
001-008  I.Enfermedades infecciosas y parasitarias;De 15 a 19 años  ;2001;18
001-008  I.Enfermedades infecciosas y parasitarias;De 15 a 19 años  ;2000;26
001-008  I.Enfermedades infecciosas y parasitarias;De 20 a 24 años;2021;22
001-008  I.Enfermedades infecciosas y parasitarias;De 20 a 24 años;2020;20
001-008  I.Enfermedades infecciosas y parasitarias;De 20 a 24 años;2019;10
001-008  I.Enfermedades infecciosas y parasitarias;De 20 a 24 años;2018;10
001-008  I.Enfermedades infecciosas y parasitarias;De 20 a 24 años;2017;11
001-008  I.Enfermedades infecciosas y parasitarias;De 20 a 24 años;2016;6
001-008  I.Enfermedades infecciosas y parasitarias;De 20 a 24 años;2015;8
001-008  I.Enfermedades infecciosas y parasitarias;De 20 a 24 años;2014;14
001-008  I.Enfermedades infecciosas y parasitarias;De 20 a 24 años;2013;8
001-008  I.Enfermedades infecciosas y parasitarias;De 20 a 24 años;2012;11
001-008  I.Enfermedades infecciosas y parasitarias;De 20 a 24 años;2011;16
001-008  I.Enfermedades infecciosas y parasitarias;De 20 a 24 años;2010;13
001-008  I.Enfermedades infecciosas y parasitarias;De 20 a 24 años;2009;10
001-008  I.Enfermedades infecciosas y parasitarias;De 20 a 24 años;2008;14
001-008  I.Enfermedades infecciosas y parasitarias;De 20 a 24 años;2007;27
001-008  I.Enfermedades infecciosas y parasitarias;De 20 a 24 años;2006;17
001-008  I.Enfermedades infecciosas y parasitarias;De 20 a 24 años;2005;17
001-008  I.Enfermedades infecciosas y parasitarias;De 20 a 24 años;2004;22
001-008  I.Enfermedades infecciosas y parasitarias;De 20 a 24 años;2003;25
001-008  I.Enfermedades infecciosas y parasitarias;De 20 a 24 años;2002;27
001-008  I.Enfermedades infecciosas y parasitarias;De 20 a 24 años;2001;37
001-008  I.Enfermedades infecciosas y parasitarias;De 20 a 24 años;2000;34
001-008  I.Enfermedades infecciosas y parasitarias;De 25 a 29 años;2021;38
001-008  I.Enfermedades infecciosas y parasitarias;De 25 a 29 años;2020;60
001-008  I.Enfermedades infecciosas y parasitarias;De 25 a 29 años;2019;13
001-008  I.Enfermedades infecciosas y parasitarias;De 25 a 29 años;2018;11
001-008  I.Enfermedades infecciosas y parasitarias;De 25 a 29 años;2017;15
001-008  I.Enfermedades infecciosas y parasitarias;De 25 a 29 años;2016;17
001-008  I.Enfermedades infecciosas y parasitarias;De 25 a 29 años;2015;16
001-008  I.Enfermedades infecciosas y parasitarias;De 25 a 29 años;2014;19
001-008  I.Enfermedades infecciosas y parasitarias;De 25 a 29 años;2013;25
001-008  I.Enfermedades infecciosas y parasitarias;De 25 a 29 años;2012;22
001-008  I.Enfermedades infecciosas y parasitarias;De 25 a 29 años;2011;25
001-008  I.Enfermedades infecciosas y parasitarias;De 25 a 29 años;2010;29
001-008  I.Enfermedades infecciosas y parasitarias;De 25 a 29 años;2009;32
001-008  I.Enfermedades infecciosas y parasitarias;De 25 a 29 años;2008;53
001-008  I.Enfermedades infecciosas y parasitarias;De 25 a 29 años;2007;26
001-008  I.Enfermedades infecciosas y parasitarias;De 25 a 29 años;2006;51
001-008  I.Enfermedades infecciosas y parasitarias;De 25 a 29 años;2005;46
001-008  I.Enfermedades infecciosas y parasitarias;De 25 a 29 años;2004;69
001-008  I.Enfermedades infecciosas y parasitarias;De 25 a 29 años;2003;80
001-008  I.Enfermedades infecciosas y parasitarias;De 25 a 29 años;2002;111
001-008  I.Enfermedades infecciosas y parasitarias;De 25 a 29 años;2001;103
001-008  I.Enfermedades infecciosas y parasitarias;De 25 a 29 años;2000;140
001-008  I.Enfermedades infecciosas y parasitarias;De 30 a 34 años;2021;81
001-008  I.Enfermedades infecciosas y parasitarias;De 30 a 34 años;2020;79
001-008  I.Enfermedades infecciosas y parasitarias;De 30 a 34 años;2019;17
001-008  I.Enfermedades infecciosas y parasitarias;De 30 a 34 años;2018;22
001-008  I.Enfermedades infecciosas y parasitarias;De 30 a 34 años;2017;18
001-008  I.Enfermedades infecciosas y parasitarias;De 30 a 34 años;2016;36
001-008  I.Enfermedades infecciosas y parasitarias;De 30 a 34 años;2015;18
