Tipo de profesional;Sexo;años;Total
Enfermeros;Total;2021;330.745
Enfermeros;Total;2020;325.018
Enfermeros;Total;2019;316.094
Enfermeros;Total;2018;307.762
Enfermeros;Total;2017;299.824
Enfermeros;Total;2016;291.297
Enfermeros;Total;2015;283.611
Enfermeros;Total;2014;274.040
Enfermeros;Total;2013;265.557
Enfermeros;Total;2012;264.524
Enfermeros;Total;2011;268.309
Enfermeros;Total;2010;262.915
Enfermeros;Total;2009;255.445
Enfermeros;Total;2008;250.020
Enfermeros;Total;2007;242.990
Enfermeros;Total;2006;237.050
Enfermeros;Total;2005;231.001
Enfermeros;Total;2004;225.487
Enfermeros;Total;2003;220.769
Enfermeros;Total;2002;213.368
Enfermeros;Total;2001;208.551
Enfermeros;Total;2000;204.485
Enfermeros;Total;1999;197.340
Enfermeros;Total;1998;192.598
Enfermeros;Total;1997;181.877
Enfermeros;Total;1996;177.034
Enfermeros;Total;1995;172.132
Enfermeros;Total;1994;167.957
Enfermeros;Total;1993;167.894
Enfermeros;Total;1992;164.891
Enfermeros;Total;1991;161.285
Enfermeros;Total;1990;158.497
Enfermeros;Total;1989;157.194
Enfermeros;Total;1988;152.624
Enfermeros;Total;1987;148.723
Enfermeros;Total;1986;147.462
Enfermeros;Total;1985;143.508
Enfermeros;Total;1984;142.542
Enfermeros;Total;1983;139.846
Enfermeros;Total;1982;136.892
Enfermeros;Total;1981;130.373
Enfermeros;Total;1980;125.313
Enfermeros;Total;1979;111.107
Enfermeros;Total;1978;97.110
Enfermeros;Total;1977;81.743
Enfermeros;Total;1976;80.426
Enfermeros;Total;1975;64.325
Enfermeros;Total;1974;32.202
Enfermeros;Total;1973;29.811
Enfermeros;Total;1972;28.593
Enfermeros;Total;1971;27.499
Enfermeros;Total;1970;26.757
Enfermeros;Total;1969;26.415
Enfermeros;Total;1968;26.268
Enfermeros;Total;1967;26.304
Enfermeros;Total;1966;26.304
Enfermeros;Total;1965;26.185
Enfermeros;Total;1964;26.234
Enfermeros;Total;1963;26.239
Enfermeros;Total;1962;26.777
Enfermeros;Total;1961;26.778
Enfermeros;Total;1960;27.050
Enfermeros;Total;1959;27.049
Enfermeros;Total;1958;26.763
Enfermeros;Total;1957;27.251
Enfermeros;Total;1956;27.201
Enfermeros;Total;1955;27.057
Enfermeros;Total;1954;26.088
Enfermeros;Total;1953;25.094
Enfermeros;Total;1952;23.247
Enfermeros;Hombres;2021;52.377
Enfermeros;Hombres;2020;51.760
Enfermeros;Hombres;2019;50.074
Enfermeros;Hombres;2018;48.633
Enfermeros;Hombres;2017;46.979
Enfermeros;Hombres;2016;45.691
Enfermeros;Hombres;2015;44.652
Enfermeros;Hombres;2014;43.047
Enfermeros;Hombres;2013;41.463
Enfermeros;Hombres;2012;41.623
Enfermeros;Hombres;2011;42.941
Enfermeros;Hombres;2010;42.994
Enfermeros;Hombres;2009;42.094
Enfermeros;Hombres;2008;41.695
Enfermeros;Hombres;2007;41.325
Enfermeros;Hombres;2006;40.837
Enfermeros;Hombres;2005;40.233
Enfermeros;Hombres;2004;41.471
Enfermeros;Hombres;2003;40.620
Enfermeros;Hombres;2002;41.717
Enfermeros;Hombres;2001;40.759
Enfermeros;Hombres;2000;39.907
Enfermeros;Hombres;1999;38.328
Enfermeros;Hombres;1998;38.271
Enfermeros;Hombres;1997;36.229
Enfermeros;Hombres;1996;35.730
Enfermeros;Hombres;1995;36.077
Enfermeros;Hombres;1994;35.540
Enfermeros;Hombres;1993;38.530
Enfermeros;Hombres;1992;38.144
Enfermeros;Hombres;1991;38.088
Enfermeros;Hombres;1990;37.613
Enfermeros;Hombres;1989;38.919
Enfermeros;Hombres;1988;38.832
Enfermeros;Hombres;1987;38.398
Enfermeros;Hombres;1986;38.680
Enfermeros;Hombres;1985;38.425
Enfermeros;Hombres;1984;38.324
Enfermeros;Hombres;1983;37.402
Enfermeros;Hombres;1982;36.926
Enfermeros;Hombres;1981;35.298
Enfermeros;Hombres;1980;34.376
Enfermeros;Hombres;1979;33.989
Enfermeros;Hombres;1978;30.551
Enfermeros;Hombres;1977;..
Enfermeros;Hombres;1976;..
Enfermeros;Hombres;1975;..
Enfermeros;Hombres;1974;..
Enfermeros;Hombres;1973;..
Enfermeros;Hombres;1972;..
Enfermeros;Hombres;1971;..
Enfermeros;Hombres;1970;..
Enfermeros;Hombres;1969;..
Enfermeros;Hombres;1968;..
Enfermeros;Hombres;1967;..
Enfermeros;Hombres;1966;..
Enfermeros;Hombres;1965;..
Enfermeros;Hombres;1964;..
Enfermeros;Hombres;1963;..
Enfermeros;Hombres;1962;..
Enfermeros;Hombres;1961;..
Enfermeros;Hombres;1960;..
Enfermeros;Hombres;1959;..
Enfermeros;Hombres;1958;..
Enfermeros;Hombres;1957;..
Enfermeros;Hombres;1956;..
Enfermeros;Hombres;1955;..
Enfermeros;Hombres;1954;..
Enfermeros;Hombres;1953;..
Enfermeros;Hombres;1952;..
Enfermeros;Mujeres;2021;278.368
Enfermeros;Mujeres;2020;273.258
Enfermeros;Mujeres;2019;266.020
Enfermeros;Mujeres;2018;259.129
Enfermeros;Mujeres;2017;252.845
Enfermeros;Mujeres;2016;245.606
Enfermeros;Mujeres;2015;238.959
Enfermeros;Mujeres;2014;230.993
Enfermeros;Mujeres;2013;224.094
Enfermeros;Mujeres;2012;222.901
Enfermeros;Mujeres;2011;225.368
Enfermeros;Mujeres;2010;219.921
Enfermeros;Mujeres;2009;213.351
Enfermeros;Mujeres;2008;208.325
Enfermeros;Mujeres;2007;201.665
Enfermeros;Mujeres;2006;196.213
Enfermeros;Mujeres;2005;190.768
Enfermeros;Mujeres;2004;184.016
Enfermeros;Mujeres;2003;180.149
Enfermeros;Mujeres;2002;171.651
Enfermeros;Mujeres;2001;167.792
Enfermeros;Mujeres;2000;164.578
Enfermeros;Mujeres;1999;159.012
Enfermeros;Mujeres;1998;154.327
Enfermeros;Mujeres;1997;145.648
Enfermeros;Mujeres;1996;141.304
Enfermeros;Mujeres;1995;136.055
Enfermeros;Mujeres;1994;132.417
Enfermeros;Mujeres;1993;129.364
Enfermeros;Mujeres;1992;126.747
Enfermeros;Mujeres;1991;123.197
Enfermeros;Mujeres;1990;120.884
Enfermeros;Mujeres;1989;118.275
Enfermeros;Mujeres;1988;113.792
Enfermeros;Mujeres;1987;110.325
Enfermeros;Mujeres;1986;108.782
Enfermeros;Mujeres;1985;105.083
Enfermeros;Mujeres;1984;104.218
Enfermeros;Mujeres;1983;102.444
Enfermeros;Mujeres;1982;99.966
Enfermeros;Mujeres;1981;95.075
Enfermeros;Mujeres;1980;90.937
Enfermeros;Mujeres;1979;77.118
Enfermeros;Mujeres;1978;66.559
Enfermeros;Mujeres;1977;..
Enfermeros;Mujeres;1976;..
Enfermeros;Mujeres;1975;..
Enfermeros;Mujeres;1974;..
Enfermeros;Mujeres;1973;..
Enfermeros;Mujeres;1972;..
Enfermeros;Mujeres;1971;..
Enfermeros;Mujeres;1970;..
Enfermeros;Mujeres;1969;..
Enfermeros;Mujeres;1968;..
Enfermeros;Mujeres;1967;..
Enfermeros;Mujeres;1966;..
Enfermeros;Mujeres;1965;..
Enfermeros;Mujeres;1964;..
Enfermeros;Mujeres;1963;..
Enfermeros;Mujeres;1962;..
Enfermeros;Mujeres;1961;..
Enfermeros;Mujeres;1960;..
Enfermeros;Mujeres;1959;..
Enfermeros;Mujeres;1958;..
Enfermeros;Mujeres;1957;..
Enfermeros;Mujeres;1956;..
Enfermeros;Mujeres;1955;..
Enfermeros;Mujeres;1954;..
Enfermeros;Mujeres;1953;..
Enfermeros;Mujeres;1952;..
Enfermeros con título de Matrona;Total;2021;9.834
Enfermeros con título de Matrona;Total;2020;9.593
Enfermeros con título de Matrona;Total;2019;9.579
Enfermeros con título de Matrona;Total;2018;9.236
Enfermeros con título de Matrona;Total;2017;9.013
Enfermeros con título de Matrona;Total;2016;8.785
Enfermeros con título de Matrona;Total;2015;8.547
Enfermeros con título de Matrona;Total;2014;8.505
Enfermeros con título de Matrona;Total;2013;8.279
Enfermeros con título de Matrona;Total;2012;7.907
Enfermeros con título de Matrona;Total;2011;7.713
Enfermeros con título de Matrona;Total;2010;7.580
Enfermeros con título de Matrona;Total;2009;7.354
Enfermeros con título de Matrona;Total;2008;7.217
Enfermeros con título de Matrona;Total;2007;7.057
Enfermeros con título de Matrona;Total;2006;6.868
Enfermeros con título de Matrona;Total;2005;6.774
Enfermeros con título de Matrona;Total;2004;6.698
Enfermeros con título de Matrona;Total;2003;6.764
Enfermeros con título de Matrona;Total;2002;6.547
Enfermeros con título de Matrona;Total;2001;6.463
Enfermeros con título de Matrona;Total;2000;6.439
Enfermeros con título de Matrona;Total;1999;6.344
Enfermeros con título de Matrona;Total;1998;6.387
Enfermeros con título de Matrona;Total;1997;6.095
Enfermeros con título de Matrona;Total;1996;6.314
Enfermeros con título de Matrona;Total;1995;6.072
Enfermeros con título de Matrona;Total;1994;6.105
Enfermeros con título de Matrona;Total;1993;6.210
Enfermeros con título de Matrona;Total;1992;6.425
Enfermeros con título de Matrona;Total;1991;6.250
Enfermeros con título de Matrona;Total;1990;6.321
Enfermeros con título de Matrona;Total;1989;6.208
Enfermeros con título de Matrona;Total;1988;6.291
Enfermeros con título de Matrona;Total;1987;5.763
Enfermeros con título de Matrona;Total;1986;6.103
Enfermeros con título de Matrona;Total;1985;6.207
Enfermeros con título de Matrona;Total;1984;5.770
Enfermeros con título de Matrona;Total;1983;5.446
Enfermeros con título de Matrona;Total;1982;4.893
Enfermeros con título de Matrona;Total;1981;4.489
Enfermeros con título de Matrona;Total;1980;4.192
Enfermeros con título de Matrona;Total;1979;4.620
Enfermeros con título de Matrona;Total;1978;..
Enfermeros con título de Matrona;Total;1977;..
Enfermeros con título de Matrona;Total;1976;4.356
Enfermeros con título de Matrona;Total;1975;4.220
Enfermeros con título de Matrona;Total;1974;4.206
Enfermeros con título de Matrona;Total;1973;4.088
Enfermeros con título de Matrona;Total;1972;4.124
Enfermeros con título de Matrona;Total;1971;4.116
Enfermeros con título de Matrona;Total;1970;4.123
Enfermeros con título de Matrona;Total;1969;4.182
Enfermeros con título de Matrona;Total;1968;4.319
Enfermeros con título de Matrona;Total;1967;4.451
Enfermeros con título de Matrona;Total;1966;4.546
Enfermeros con título de Matrona;Total;1965;4.617
Enfermeros con título de Matrona;Total;1964;4.673
Enfermeros con título de Matrona;Total;1963;4.681
Enfermeros con título de Matrona;Total;1962;5.004
Enfermeros con título de Matrona;Total;1961;4.963
Enfermeros con título de Matrona;Total;1960;5.156
Enfermeros con título de Matrona;Total;1959;5.117
Enfermeros con título de Matrona;Total;1958;4.813
Enfermeros con título de Matrona;Total;1957;5.512
Enfermeros con título de Matrona;Total;1956;5.412
Enfermeros con título de Matrona;Total;1955;5.338
Enfermeros con título de Matrona;Total;1954;4.956
